N,Versao,T,mean,std
100000,v1 (Sequencial),1,0.0202,0.008671793355471517
100000,v2 (SIMD),1,0.0176,0.0058137767414994535
100000,v3 (OMP+SIMD),1,0.032600000000000004,0.007021395872616788
100000,v3 (OMP+SIMD),2,0.5044,0.7393959020714139
100000,v3 (OMP+SIMD),4,1.2214,2.1897225395012954
100000,v3 (OMP+SIMD),8,0.8552,1.1853523526783083
100000,v3 (OMP+SIMD),16,1.6026,0.2897210727579199
500000,v1 (Sequencial),1,0.2088,0.10495332295835134
500000,v2 (SIMD),1,0.15660000000000002,0.05614089418596751
500000,v3 (OMP+SIMD),1,0.8564,0.8996020231191123
500000,v3 (OMP+SIMD),2,0.9607999999999999,0.814882322792684
500000,v3 (OMP+SIMD),4,0.4112,0.48159495429250504
500000,v3 (OMP+SIMD),8,0.7792,1.4043111122539764
500000,v3 (OMP+SIMD),16,1.5044,0.6520853471747392
1000000,v1 (Sequencial),1,0.5368,0.12631191551077042
1000000,v2 (SIMD),1,0.4652,0.10312468181769098
1000000,v3 (OMP+SIMD),1,0.45119999999999993,0.015546703830715967
1000000,v3 (OMP+SIMD),2,1.5550000000000002,2.2497327619075116
1000000,v3 (OMP+SIMD),4,0.4888,0.09200923866656004
1000000,v3 (OMP+SIMD),8,0.4226,0.025155516293648178
1000000,v3 (OMP+SIMD),16,2.1092,0.27737195243931906
